Tupi,Tradução,Citação
I angaîpá-pará-pará...,Ela tem pecados variadíssimos.,"Anch., Poemas, 112"
"Nd'e'i te'e og orybamo, Tupãó-pyri i pytasagûera resé.","Por isso mesmo eles estão felizes, pela permanência dele junto à casa de Deus.","Ar., Cat., 5v"
Nd'oîkóîpe mba'e amõ Tupã 'ara monhang'e'ymebé?,Não havia nada antes de Deus fazer o mundo?,"Anch., Doutr. Cristã, I, 159"
Marãîasûaramo asó mã!,Que bom seria se eu fosse!,"Anch., Arte, 24v"
...Tynysẽ umã kaûĩ...,Já transborda o cauim.,"Anch., Teatro, 24"
Xe apu'a.,Eu sou redondo.,"VLB, II, 99"
Aîapyrasab.,Saltei-o.,"VLB, II, 112"
Aroîebyr aoba.,Torno a trazer a roupa.,"Anch., Arte, 48v"
"Quarta-feira tanimbukaraíba rasápe, îekuakupabusu Quaresma 'îaba nheypyrungi.","Ao passar a quarta-feira de cinzas sagradas começa o grande jejum, chamado Quaresma.","Ar., Cat., 122, 1686"
...T'ereîekosubeté tekoporanga resé.,Que te regozijes muito com a virtude.,"Ar., Cat., 250"
oîepé îuru nhõ,somente um bocado,"VLB, I, 56"
A'uba nhote ikó 'ara'uba.,"É aparência, somente, este mundo falso.","Ar., Cat., 169"
"Kaûĩ mboapŷareté, a'e marã monhangara...","O que esgota verdadeiramente o cauim, esse é o fazedor de mal.","Anch., Teatro, 6"
Sesé o ma'enduara îabi'õ...,Cada vez que se lembra dela...,"Ar., Cat., 71v"
Oré ma'e îara ahẽ pé.,Nós somos portadores de riquezas para ele.,"Léry, Histoire, 362"
Aîpó turi.,"Eis que esse vem (ouvindo sua voz, somente, não o vendo).","VLB, I, 109"
A'ekatu sesé.,Sei fazê-lo.,"VLB, II, 79"
Xe kûarusu.,Eu tenho um buraco grande.,"VLB, II, 19"
Aîapi okytá.,Dou topadas no esteio.,"VLB, II, 32"
Ereîmborype nde rapixara 'aretéreme i porabyky-potareme?,És tolerante com teu próximo ao querer ele trabalhar nos feriados?,"Ar., Cat., 100"
Xe rembiara rembyrûera arurĩ reîa supé.,O resto de minhas presas trouxe para a rainha.,"Anch., Poemas, 154"
aseó-kytã,nó da garganta,"VLB, II, 50"
xe kó robapy,o limite de minha roça,"VLB, II, 22"
aseî,às costas,"Anch., Arte, 41"
Abápe aîpoba'e oîmomaran?,Quem desobedece àquele?,"Ar., Cat., 67"
"Ereîarype abá mba'e, nde rapixara mondarõagûera koîpó semimima?","Tomaste as coisas de alguém, o objeto do furto de teu próximo ou o que ele esconde?","Ar., Cat., 107"
Sygûyrõpe kunhã o mena reséne?,Terá a mulher ciúmes de seu marido?,"Anch., Doutr. Cristã, I, 228"
Oîké itapygûá nde 'anga pupé.,Penetram os cravos dentro de tua alma.,"Anch., Poemas, 122"
Oîmoasype a'e riré a'e 'ybá 'uagûera?,"Arrependeu-se, depois disso, de ter comido aquele fruto?","Anch., Doutr. Cristã, I, 163"
Aropîá.,Desviei-o comigo.,"VLB, I, 101"
Mba'e resépe îuky-karaíba mondebi asé îurupe?,Por que põe sal bento na boca da gente?,"Ar., Cat., 81v"
“Aîrarõpe muru ká...,Hei de irritar os malditos.,"Anch., Teatro, 168"
"Xe Parati 'y suí aîu Tupã sy repîaka, gûinhemoîegûá-îegûaka...","Eu vim do rio dos paratis para ver a mãe de Deus, ficando a enfeitar-me.","Anch., Poemas, 110"
I ku'a-sorok serã moxy...?,Porventura tinha o maldito sua cintura rompida?,"Anch., Dial. da Fé, 177"
Aîmba'e-pysyrõ-mbab.,Saqueei-lhe as coisas completamente.,"VLB, I, 100"
N'i potare'ỹme ruã,Não porque não queira.,"Anch., Arte, 34v"
...Marãpe xe ri erepûá?,Por que bates em mim?,"Anch., Teatro, 32"
...mosanga... asé 'anga mombûerasaba,remédio que é a causa da cura de nossa alma,"Ar., Cat., 219"
N'îaporabykyî kó 'ara pupé...,Não trabalhamos neste dia...,"Ar., Cat., 7"
"Xe parati 'y suí aîu, rainha repîaka, xe akanga moîegûaka.","Do rio dos paratis vim para ver a rainha, enfeitando minha cabeça.","Anch., Poemas, 152"
"Te'yîpe nhẽ i gûapyki, tatá ypype oîepegûabo.","Sentou-se em público, aquecendo-se perto do fogo.","Ar., Cat., 57"
Ahẽ morapitîarûera taté nhẽ anhẽ ybŷá oîuká.,"Mataram, na verdade, a outra pessoa que não aquele assassino.","VLB, II, 12"
Xe popy'i.,Eu sou ligeiro de mãos.,"VLB, II, 22"
"A'e, rakó, i angaîpá, oîemopaîé-paîébo...","Elas, na verdade, são más, ficando a fazer pajelança.","Anch., Teatro, 14"
Na xe îáî.,"Não está em conformidade comigo, não é igual a mim.","VLB, I, 99"
Tupã amõ kunhãngatu monhangi.,Deus fez uma certa mulher bondosa.,"Anch., Poemas, 86"
xe eúme,se eu arrotar (lit. - no caso de meu arroto),"Anch., Arte, 26"
"Xe îyboîa, xe sokó, xe tamuîusu Aîmbiré...","Eu sou uma jibóia, eu sou um socó, eu sou o grande tamoio Aimbirê.","Anch., Teatro, 28"
...Pesepîak irã... ybytinga 'arybo xe rura béne...,Vereis também futuramente minha vinda sobre as nuvens.,"Ar., Cat., 56v"
"I pupé Îesu Cristo rekóû, i Tupã, seté abé gûetependûara pupé...","Dentro dele está Jesus Cristo, sua divindade e seu corpo em inteireza.","Ar., Cat., 85"
A'epe abaré hóstia pese'õ-etá-etáreme i pese'õmbûera îabi'õ Îandé Îara Îesu Cristo rekóû?,"E ao partir muitas vezes o padre a hóstia em pedaços, em cada pedaço dela Nosso Senhor Jesus Cristo está?","Ar., Cat., 87v"
E'ikatupe o îesuí opo'i?,Podem deixar um do outro?,"Ar., Cat., 94v"
"A'epe o mena... mũetéramo sekó mombe'ue'yma, marã?","E não confessando ser parente verdadeira de seu marido, que acontece?","Ar., Cat., 71v"
"O ekó moasy riré, abá sóû îemombegûabo...","Após arrependerem-se de seus atos, os índios vão confessar-se.","Anch., Teatro, 38"
...Semimboabaré sekobîara bé missa pupé miapé rari o pópe sobasapa...,"Os que ele torna padres e seus substitutos na missa tomam o pão em suas mãos, benzendo-o.","Ar., Cat., 84v"
Nde rorype... nde kama abá sungáreme?,Tu te alegras quando um homem apalpa teus seios?,"Ar., Cat., 234, 1686"
"...Putuna îudeus i pysykagûeramo sekóreme, ...cristãos rorybe'ymamo.","A noite em que estava ele como presa dos judeus, os cristãos não estavam felizes.","Ar., Cat., 5v"
mba'e retuna...,cheirando as coisas,"Ar., Cat., 92"
...Oú-mo'ang pe mondyîa.,Pensa em vir para vos espantar.,"Anch., Teatro, 182, 2006"
...Asé 'anga motuîukukare'yma...,Para não fazer enlamear a alma da gente.,"Ar., Cat., 81v"
"T'îasó, mbegûé... t'ixapy moxy retama.","Vamos, devagar, para queimar a terra dos malditos.","Anch., Teatro, 24"
nhũ-asyma,campo limpo (sem árvores),"VLB, II, 84"
Morubixaba boîá amõ osobá-petek...,Um servo do príncipe esbofeteou sua cara.,"Ar., Cat., 55v"
Aîupi'a-mombor.,Botei-me os ovos.,"VLB, II, 81"
Xe poronupã îá.,"Eu açouto gente, de costume.","Anch., Arte, 51v"
...oporokurá-kurapa...,Ficando a chacotear as pessoas.,"Ar., Cat., 74"
minga'u-pomonga,mingau grudento,"VLB, I, 151"
Ereîubype erimba'e nde agûasá 'arybo nde arãíbamo?,Estiveste deitado outrora sobre tua amante como um rufião?,"Anch., Doutr. Cristã, II, 95"
nhembo'e-irũ,"companheiro de aprendizagem, condiscípulo","VLB, I, 79"
Tieté maniîabo a'e!,Que mau é ele!,"VLB, II, 103"
...I akanga resé a'e takûara reropûá.,Em sua cabeça batendo com aquela cana.,"Ar., Cat., 60v"
T'aroŷrõngatu Anhanga...,Que eu deteste muito o diabo.,"Anch., Poemas, 98"
...T'oré angaturãne Cristo remienõîûera resé...,Para que sejamos dignos do que Cristo prometeu.,"Ar., Cat., 14v"
Aîmoín itá resé.,Prendi-o a uma pedra.,"VLB, I, 23"
Eîporu nde nhembo'eagûera.,Pratica o que tu aprendeste.,"VLB, I, 131"
"Eresaûsubápe nde sy, nde ruba...?",Compadeceste-te de tua mãe e de teu pai?,"Ar., Cat., 101"
"Xe rureme, asobaîtĩ xe remierekopûera.","Ao vir eu, encontrei o que guardara.","Léry, Histoire, 375"
...Nde robá repîaka'upa ....,Tendo saudades de tua face.,"Anch., Poemas, 84"
Ygasápe kaûĩ-tuîa a'e ré îamomotá...,"Além disso, atrai-os o cauim transbordante nas igaçabas.","Anch., Teatro, 30, 2006"
Abebé kó ybytu îá.,Vôo como este vento.,"Anch., Teatro, 40"
Abá-abápe asé resé Tupã mongetasaramo sekóû?,Quem são os que rogam a Deus por nós?,"Ar., Cat., 23v"
mba'e rasy,dor (em sentido genérico),"VLB, I, 106"
Oîkó bé xe taŷaíba.,Minha coragem ainda existe.,"Anch., Teatro, 22"
Aaó-pyasab.,Teço roupas.,"VLB, II, 125"
...Tekó-katu aby potare'yma,Não querendo transgredir a boa lei.,"Ar., Cat., 125v"
Xe kupébo aîpó eré.,Pelas minhas costas disseste isso.,"VLB, II, 81"
"T'oú, nde îeruresápe, Tupã oré moorypa...","Que venha, por teus pedidos, Deus para nos fazer felizes.","Anch., Teatro, 118"
- Nd'omarãmonhangi xópene?,Não brigarão?,"Anch., Dial. da Fé, 159"
Xe rembiá-potá sabeypora amõ resé...,Eu quero presas nas pessoas de alguns bêbados.,"Anch., Teatro, 150, 2006"
"-Umãmepe i poromomendari? -Tupãokype, ikatupe nhẽ mokõî abá robaké. -Onde ele casa as pessoas?","Na igreja, publicamente, diante de duas pessoas.","Ar., Cat., 94"
Osepîápe karaibebé Tupã o monhangara o monhang-ypyreme?,"Viram os anjos a Deus, seu criador, quando ele começou a criá-los?","Ar., Cat., 37v"
Xe membyrasy.,Eu tenho dores de parto.,"VLB, II, 66"
"Xe rekó-ekyî îepé, a'epûera aîmoasy...","Embora me evoques os atos, daqueles arrependo-me.","Anch., Teatro, 168"
"Ixé-te, Tupã, xe ruba, aîmongetá memẽ nhẽ, xe katurama momboîa, xe angaîpaba rapirõmo...","Mas eu a Deus, meu pai, rezava sempre, propondo ser bom, pranteando meus pecados.","Anch., Teatro, 168"
i i'yra → i'yra,sobrinho dele,"Anch., Arte, 14"
Tupã syrama ri i monhangymbyra...,Para mãe de Deus é que é feita.,"Anch., Poemas, 88"
Og uba resá ahẽ ogûar.,Ele tomou os traços dos olhos de seu pai.,"VLB, II, 131"
Eîmoeté nde ruba nde sy abé.,Honra teu pai e tua mãe.,"Bettendorff, Compêndio, 10; Anch., Teatro, 54"
...Xe pûeraî mbyté...,Eu estava ainda cansado.,"Anch., Teatro, 136"
Anhetanong paîé resé.,Fiz oferenda para o pajé.,"VLB, II, 55"
O emimotare'yma-katu... omendaryba'e.,O que se casa bem contra sua vontade.,"Ar., Cat., 128"
Esepîak xe mara'ara t'eresaûsubar xe 'anga.,Vê minha doença para que te compadeças de minha alma.,"Valente, Cantigas, VII, in Ar., Cat., 1618"
N'aîpotare'ym-a'ubi.,Finjo que não o quero.,"Anch., Arte, 35"
Xe kupeasur.,"Eu tenho corcova, eu estou corcunda.","VLB, I, 30"
Xe araakasyk.,Eu sou garrido.,"VLB, II, 141"
Eîpytybyrok xe roka...,Arranca de minha casa a poeira dos pés.,"Valente, Cantigas, VIII, in Ar., Cat., 1618"
Aroker xe ra'yra.,Fiz meu filho dormir comigo.,"Anch., Arte, 48v"
"Akûeîme aîkotebẽ, xe rekopoxy purûabo.","Antigamente estava aflito, praticando meus vícios.","Anch., Poemas, 130"
Xe Îetu'u ra'yrûera. Anhemonhang i pupé.,Eu sou antigo filho de Jetuú. Criei-me dentro dela.,"Anch., Poemas, 152"
Asó nde rekobîaramo.,Vou como teu substituto.,"Anch., Arte, 44v"
Îaîuká memẽ aîpó 'îara...,Matemos juntos o que diz isso.,"Ar., Cat., 79, 1686"
Xe usũî îepé.,Tu me atormentas.,"VLB, I, 122"
Xe apy'am.,Eu estava pendente.,"VLB, II, 72"
"Okarype senosemi, cruz nonga i ati'yba ri.","Retiraram-no para o pátio, colocando uma cruz no ombro dele.","Ar., Cat., 61v"
...apŷaba sogûabo pá...,convidando os homens todos,"Anch., Teatro, 34"
Opá nde reté raíri itatiãîa pupé.,Riscaram todo o teu corpo com ferro pontiagudo.,"Anch., Teatro, 120"
Nde ererupe nde remirekó?,Tu trouxeste tua esposa?,"Léry, Histoire, 352"
Marãpe i boîá rekóû emonã o îara rerekó repîaka?,Como seus discípulos procederam vendo tratar assim a seu senhor?,"Ar., Cat., 54v"
Xe îase'opytym xe remi'u.,Engasgou-me minha comida.,"VLB, I, 116"
...i pitangĩ mokambûabo,...amamentando seu neném,"Anch., Poemas, 134"
"Î aysó, nipó, îasy, og obagûasu reru.","É formosa, certamente, a lua, vindo com sua grande face.","Anch., Poemas, 142"
Marã? Ybyrá supé nhẽpe asé îerokyû?,Como assim? Diante de uma madeira a gente faz reverência?,"Ar., Cat., 22"
Xe repy mokonhõ'ĩ.,Meu preço é pouquinho.,"VLB, I, 51"
Xe momotar Tupã.,Deus me atrai.,"Anch., Arte, 49"
Aîmokusambar.,Dou laçadas nela.,"VLB, II, 17"
Tabusupe ûĩ?,Essa é uma cidade?,"Léry, Histoire, 361"
...O supara rapirõmo.,Pranteando o que o visita.,"Ar., Cat., 77"
Og uba rupi ahẽ resatingamo.,Ele tem olhos claros como seu pai.,"VLB, II, 131"
'y pype,no fundo da água,"VLB, I, 110"
Kó xe rekóû nde reká...,"Eis que aqui estou, procurando-te.","Anch., Poemas, 104"
"Mba'eeté ka'ugûasu, kaûĩ moîeby-îebyra.","Coisa muito boa é uma grande bebedeira, ficar vomitando cauim.","Anch., Teatro, 6"
Xe mendûera ipó re'ĩ.,"Meu ex-marido há de ser, certamente.","Anch., Teatro, 8"
E'u umẽ ikó 'ybá xe rekoate'ỹmbaba...,Não comas este fruto que me é reservado.,"Ar., Cat., 155"
Anhomun.,Cuspi-o.,"VLB, I, 83"
Oú tubixá-katu...,Veio um grande chefe.,"Anch., Poemas, 138"
Ang é!,Isto de novo!,"VLB, II, 51"
"Peteumẽ, pe poxyramo angiré...",Guardai-vos de serdes maus doravante.,"Anch., Teatro, 54"
N'aîepokuabi.,Não me acostumei.,"VLB, II, 47"
'aputu'ũ-aoba,"saco, teia ou teagem dos miolos","Castilho, Nomes, 29; VLB, II, 125"
mokõî mondabora,dois ladrões,"Ar., Cat., 90, 1686"
Nd'e'i te'e opá abá angaîbaramo...-ne.,Por isso mesmo todos os homens emagrecerão.,"Ar., Cat., 160"
"Omarãmonhangype, oîoendyne?","Brigarão, cuspir-se-ão?","Anch., Doutr. Cristã, I, 228"
Aîaby-eteté xe monhangara... nhe'enga mã...!,"Ah, transgredi muitíssimo as palavras de meu criador!","Ar., Cat., 85v"
...Tupã o aûsuba poepykareté...,o que retribui verdadeiramente o amor de Deus a si,"Ar., Cat., 166v"
Oîxamysyk sero'ama...,"Amarraram-no com corda, fazendo-o estar em pé.","Ar., Cat., 56v"
"Îeperibe'ĩ asé marã i 'éû, onhemoŷrõ ymûan.","Mal a gente diz algo, já se irrita.","VLB, II, 11"
A'emo oîubyk-uká?,Eles mandariam enforcá-los?,"Anch., Teatro, 62"
Our ko'emytanga.,Veio a aurora.,"VLB, I, 123"
Îandé té t'îabebé Tupãrorypápe nhẽ...,"Nós, enfim, havemos de voar para o paraíso. (Anch., Teatro, 186, 2006) ...Kó té mi'u-eté... - Eis que este é o pão verdadeiro.","Ar., Cat., 85"
Sekobîarõmbyrape temirekoeté koîpó meneté pe retãmendûara?,Devem ser substituídos a esposa ou o marido verdadeiros que estão em vossas residências?,"Ar., Cat., 96"
Asa'ubar.,Tomei-o em seco.,"VLB, II, 131"
inimbó-apu'a,"bola, novelo de lã","VLB, II, 51"
Ererobîápe îetanonga'uba...?,Acreditas em falsas oferendas?,"Ar., Cat., 98v"
Îeîbé asó.,Vou de madrugada.,"VLB, II, 27"
Ne'ĩ serasóbo ko'yté.,"Ora, já agora leve-o.","VLB, II, 7"
Pe îabi'õ Pa'i Tupã karaibebé moingóû.,De cada um de vós o Senhor Deus encarregou um anjo.,"Anch., Teatro, 50"
Cristãos i mongaraibypyra tekokuaparamo Cristo remieîara...,O que Cristo deixa como chefes dos cristãos batizados.,"Ar., Cat., 6-6v"
Aîmomara'ar.,Faço-o doente.,"Anch., Arte, 48"
A'e ipó... oîmoarybé-ukar xe suí...,"Ele, certamente, faz tirar-lhe o efeito de mim.","Ar., Cat., 219, 1618"
Atumbé-tumbek.,Estou desleixando.,"VLB, I, 93"
Tekatunheté rakûé endé hegûy!,"Ai, que enfadonho és tu, de fato!","VLB, II, 54"
Nd'oîmoasyîpe amõ o nhe'engaibagûera iî a'o ré?,Não se arrependeram alguns de seus vitupérios após o injuriarem?,"Ar., Cat., 63"
Osó ymûã.,Já ia.,"VLB, II, 7"
T'oroîtyk oré poxy...,Que lancemos fora nossa maldade.,"Anch., Teatro, 118"
Anosem mba'e ygara suí.,Descarreguei as coisas da canoa.,"VLB, I, 97"
Aîakangeky-ekyî.,Fiquei-lhe puxando a cabeça (pelos cabelos).,"VLB, I, 42"
Moromoîasukaba pupé onhemongaraípa...,Santificando-se na pia batismal.,"Anch., Doutr. Cristã, I, 133"
Nde purepukype?,Tu tens polução?,"Ar., Cat., 104"
Xe pûeraî mbyté...,Eu estava ainda cansado.,"Anch., Teatro, 136"
Mboîa Pedro îaîxu'u.,A cobra mordeu a Pedro.,"Anch., Arte, 36v"
Ereîeapyk kûepe kunhã amõ supé nde rakûãîekyîa?,"Sentaste-te por aí diante dalguma mulher, puxando teu pênis?","Anch., Doutr. Cristã, II, 92"
taîasu rokaîa,curral dos porcos,"VLB, I, 73"
Xe îara é xe pûaî sesé.,Meu senhor é que me mandou fazê-lo.,"VLB, II, 30"
Pe îuraragûaî.,Vós mentis.,"Anch., Teatro, 180"
Nd'e'i te'e îase'o anhõ monhanga i mombyke'ymane...,Por isso mesmo será só chorar sem parar.,"Ar., Cat.,163"
Nd'oîkóî rakó miapéramo...,Não é mais pão.,"Ar., Cat., 84v"
E'i mo'ema monhanga...,Mostram-se a urdir mentiras.,"Anch., Teatro, 36"
Nd'e'i te'e abá tekokatu pupé onhemopepóbo o beberama resé.,"Por isso mesmo o homem, com a virtude, dá asas a si para voar.","Ar., Cat., 169-169v"
"...Aîpó potá é erimba'e nhemoapŷabi, Tupãnamo o ekó po'ire'yma.","Querendo isso, fez-se homem, não deixando de ser Deus.","Ar., Cat., 86"
"Kapi'ĩ sosé kó tuî, tapi'irusu karuápe.","Eis que sobre o capim ele está deitado, no lugar de comer da vaca.","Anch., Poemas, 164"
Ereînhe'engybõpe nde ruba...?,Ofendeste teu pai?,"Anch., Doutr. Cristã, II, 86"
"Soryb, xe îabé, xe ruba tupinakyîa.","Está alegre, como eu, meu pai tupiniquim.","Anch., Poemas, 110"
Xe rekoruînhẽ.,Eu estou adoentado.,"VLB, II, 29"
"Saûsupara, aîuruîuba, mokaba ogûeru tenhẽ...","Seus amigos, os franceses, pólvora trouxeram em vão.","Anch., Teatro, 52"
Oroerokûaka'ar.,Levamo-los uns atrás dos outros.,"VLB, II, 21"
Xe nhearõ.,Eu sou risonho.,"VLB, II, 106"
...Te'õ abé reîkéû ikó 'ara poramo oîá.,"Da mesma forma, a morte também entrou como componente deste mundo.","Ar., Cat., 155"
"A'e o kakuab'iré, ...i nheme'engi apŷabaíba supé, oîeîuká-uká ybyraîoasaba resé...","Ele, após crescer, entregou-se aos homens maus, fazendo-se matar na cruz.","Anch., Doutr. Cristã, I, 194"
"Abápe aîpoba'e oîmonhang erimba'e, sa'angypŷabo?","Quem o fez outrora, começando a pronunciá-lo?","Ar., Cat., 25v"
îybá-asyka,toco de braço,"VLB, I, 84"
...Abá 'anga re'õû nhẽ Tupana nhe'enga abŷápe.,As almas dos homens morrem ao transgredirem a palavra de Deus.,"Anch., Teatro, 144"
Ereî'atypetekype amõ abá?,Esbofeteaste as têmporas de alguém?,"Anch., Doutr. Cristã, II, 87"
...I kurubipûera anhõte îepé asé o'u.,Ainda que somente uma migalha dele a gente come.,"Ar., Cat., 85"
Ianga Pa'i Tupã n'oîpotari...,Isso o Senhor Deus não quer.,"Ar., Cat., 102v"
So'o resé aîkó.,Estou em busca de caça.,"VLB, II, 41"
"Nd'e'i te'e ko'yr, onhemo'aretébo, og orybamo...","Por isso mesmo agora, sendo dia santo, eles estão felizes.","Ar., Cat., 5v"
emonãnamo é,e portanto...,"VLB, I, 121"
Esapek u'i amõ.,Tosta alguma farinha.,"Léry, Histoire, 367"
A'e miapepûera abaré oîmbo'i re'a...,"Aquele pão o padre o partiu, certamente.","Ar., Cat., 85"
Nde poxype nde remirekó asykûereté amõ resé...?,Tu foste desonesto com alguma irmã verdadeira de tua esposa?,"Anch., Doutr. Cristã, II, 94"
I pûer tekoaíba,Passou a aflição.,"Anch., Arte, 33v"
...T'okaî nde ratá pupé...,Que queimem em teu fogo.,"Anch., Teatro, 60"
Ybyri-pyryb t'îasó.,Vamos um pouco mais ao longo da costa.,"VLB, II, 24"
manõîa suípe?,de que lugar?,"VLB, I, 106"
Aytarõ.,Farto-o.,"Anch., Arte, 39"
N´asó-potari mamõ...,Não quero ir para longe.,"Anch., Poemas, 100"
"...Perekó potasábo é, perekó i îukábo...","Tende-o por vontade, tende-o para matá-lo.","Ar., Cat., 61"
Esa'ang ra'u.,"Ora, experimenta-o.","VLB, I, 126"
Ta xe pysyrõ marãtekó suí...,Que me livre das dificuldades...,"Ar., Cat., 23"
Aîmoaku'i.,Enxuguei-o.,"VLB, I, 120"
...tubixá-katu Aîmbiré,o grande chefe Aimbirê,"Anch., Teatro, 8"
Xe mosakar.,Eu sou liberal.,"VLB, II, 21"
Xe amandab.,Eu sou redondo.,"VLB, II, 99"
T'arasó kó ygaporaîa...,Hei de levar esta vasilha.,"Anch., Teatro, 22"
Aîkyty-kytyk mba'ekagûera pupé.,Fiquei-o esfregando com gordura.,"VLB, I, 117"
Xe 'ytab.,Eu sou nadador (ou sei nadar).,"Anch., Arte, 51v"
...Kûeîbo nhẽ xe rerobaka.,Fazendo-me mudar de direção por aí.,"Anch., Teatro, 162"
Nde rorype... abá serekomemûãagûera resé?,Tu te alegraste por alguém estragá-las?,"Ar., Cat., 109v"
